sector,subsector,field,model_variable,category_value,category_name,gas,gas_name,model_variable_information
AFOLU,Agriculture,area_agrc_crops_bevs_and_spices,Crop Area,bevs_and_spices,cat_agriculture,,,Total area of each crop given in terms of the value specified in the configuration parameter ``area_units``.
AFOLU,Agriculture,area_agrc_crops_cereals,Crop Area,cereals,cat_agriculture,,,Total area of each crop given in terms of the value specified in the configuration parameter ``area_units``.
AFOLU,Agriculture,area_agrc_crops_fibers,Crop Area,fibers,cat_agriculture,,,Total area of each crop given in terms of the value specified in the configuration parameter ``area_units``.
AFOLU,Agriculture,area_agrc_crops_fruits,Crop Area,fruits,cat_agriculture,,,Total area of each crop given in terms of the value specified in the configuration parameter ``area_units``.
AFOLU,Agriculture,area_agrc_crops_herbs_and_other_perennial_crops,Crop Area,herbs_and_other_perennial_crops,cat_agriculture,,,Total area of each crop given in terms of the value specified in the configuration parameter ``area_units``.
AFOLU,Agriculture,area_agrc_crops_nuts,Crop Area,nuts,cat_agriculture,,,Total area of each crop given in terms of the value specified in the configuration parameter ``area_units``.
AFOLU,Agriculture,area_agrc_crops_other_annual,Crop Area,other_annual,cat_agriculture,,,Total area of each crop given in terms of the value specified in the configuration parameter ``area_units``.
AFOLU,Agriculture,area_agrc_crops_other_woody_perennial,Crop Area,other_woody_perennial,cat_agriculture,,,Total area of each crop given in terms of the value specified in the configuration parameter ``area_units``.
AFOLU,Agriculture,area_agrc_crops_pulses,Crop Area,pulses,cat_agriculture,,,Total area of each crop given in terms of the value specified in the configuration parameter ``area_units``.
AFOLU,Agriculture,area_agrc_crops_rice,Crop Area,rice,cat_agriculture,,,Total area of each crop given in terms of the value specified in the configuration parameter ``area_units``.
AFOLU,Agriculture,area_agrc_crops_sugar_cane,Crop Area,sugar_cane,cat_agriculture,,,Total area of each crop given in terms of the value specified in the configuration parameter ``area_units``.
AFOLU,Agriculture,area_agrc_crops_tubers,Crop Area,tubers,cat_agriculture,,,Total area of each crop given in terms of the value specified in the configuration parameter ``area_units``.
AFOLU,Agriculture,area_agrc_crops_vegetables_and_vines,Crop Area,vegetables_and_vines,cat_agriculture,,,Total area of each crop given in terms of the value specified in the configuration parameter ``area_units``.
AFOLU,Agriculture,demand_agrc_bevs_and_spices_tonne,Crop Demand,bevs_and_spices,cat_agriculture,,,Total tonnage of crops demanded
AFOLU,Agriculture,demand_agrc_cereals_tonne,Crop Demand,cereals,cat_agriculture,,,Total tonnage of crops demanded
